x,f(x)
0,2.554e-15
0.01,2.22e-15
0.02,7.772e-16
0.03,8.882e-16
0.04,1.499e-15
0.05,3.886e-16
0.06,1.776e-15
0.07,1.479e-12
0.08,1.882e-08
0.09,1.779e-05
0.1,0.001372
0.11,0.01117
0.12,0.01964
0.13,0.02195
0.14,0.02443
0.15,0.02752
0.16,0.03095
0.17,0.03443
0.18,0.03768
0.19,0.04045
0.2,0.04278
0.21,0.05669
0.22,0.1185
0.23,0.1575
0.24,0.1732
0.25,0.1933
0.26,0.2178
0.27,0.2446
0.28,0.2715
0.29,0.2965
0.3,0.3179
0.31,0.3343
0.32,0.3615
0.33,0.4884
0.34,0.5921
0.35,0.6161
0.36,0.6398
0.37,0.6691
0.38,0.7012
0.39,0.7335
0.4,0.7635
0.41,0.789
0.42,0.8088
0.43,0.8237
0.44,0.8625
0.45,0.9231
0.46,0.936
0.47,0.9372
0.48,0.9383
0.49,0.9391
0.5,0.9394
0.51,0.9391
0.52,0.9383
0.53,0.9372
0.54,0.936
0.55,0.9231
0.56,0.8625
0.57,0.8237
0.58,0.8088
0.59,0.789
0.6,0.7635
0.61,0.7335
0.62,0.7012
0.63,0.6691
0.64,0.6398
0.65,0.6161
0.66,0.5921
0.67,0.4884
0.68,0.3615
0.69,0.3343
0.7,0.3179
0.71,0.2965
0.72,0.2715
0.73,0.2446
0.74,0.2178
0.75,0.1933
0.76,0.1732
0.77,0.1575
0.78,0.1185
0.79,0.05669
0.8,0.04278
0.81,0.04045
0.82,0.03768
0.83,0.03443
0.84,0.03095
0.85,0.02752
0.86,0.02443
0.87,0.02195
0.88,0.01964
0.89,0.01117
0.9,0.001372
0.91,1.779e-05
0.92,1.882e-08
0.93,1.478e-12
0.94,-1.443e-15
0.95,-1.499e-15
0.96,-8.327e-16
0.97,-2.442e-15
0.98,-1.721e-15
0.99,-9.437e-16
1,-1.221e-15
