x,f(x)
0,0.4114
0.01,0.4114
0.02,0.4114
0.03,0.4114
0.04,0.4114
0.05,0.4114
0.06,0.4114
0.07,0.4114
0.08,0.4114
0.09,0.4114
0.1,0.4114
0.11,0.4114
0.12,0.4114
0.13,0.4114
0.14,0.4114
0.15,0.4114
0.16,0.4114
0.17,0.4114
0.18,0.4114
0.19,0.4114
0.2,0.4114
0.21,0.4114
0.22,0.4114
0.23,0.4114
0.24,0.4114
0.25,0.4114
0.26,0.4113
0.27,0.4113
0.28,0.4113
0.29,0.4113
0.3,0.4112
0.31,0.4111
0.32,0.411
0.33,0.4104
0.34,0.2655
0.35,0.2278
0.36,0.2272
0.37,0.2271
0.38,0.227
0.39,0.2269
0.4,0.2269
0.41,0.2268
0.42,0.2268
0.43,0.2268
0.44,0.2268
0.45,0.2268
0.46,0.2268
0.47,0.2268
0.48,0.2268
0.49,0.2268
0.5,0.2268
0.51,0.2268
0.52,0.2268
0.53,0.2268
0.54,0.2268
0.55,0.2268
0.56,0.2268
0.57,0.2268
0.58,0.2268
0.59,0.2268
0.6,0.2268
0.61,0.2268
0.62,0.2268
0.63,0.2269
0.64,0.2269
0.65,0.227
0.66,0.2274
0.67,-0.007261
0.68,-0.0006308
0.69,-0.0003232
0.7,-0.0002176
0.71,-0.0001646
0.72,-0.0001328
0.73,-0.0001118
0.74,-9.698e-05
0.75,-8.597e-05
0.76,-7.752e-05
0.77,-7.086e-05
0.78,-6.551e-05
0.79,-6.112e-05
0.8,-5.749e-05
0.81,-5.444e-05
0.82,-5.185e-05
0.83,-4.965e-05
0.84,-4.776e-05
0.85,-4.612e-05
0.86,-4.471e-05
0.87,-4.348e-05
0.88,-4.242e-05
0.89,-4.149e-05
0.9,-4.069e-05
0.91,-4e-05
0.92,-3.94e-05
0.93,-3.89e-05
0.94,-3.847e-05
0.95,-3.812e-05
0.96,-3.784e-05
0.97,-3.763e-05
0.98,-3.747e-05
0.99,-3.738e-05
1,-3.735e-05
