x,f(x)
0,2.408e-09
0.01,2.188e-08
0.02,3.048e-07
0.03,3.281e-06
0.04,2.729e-05
0.05,0.0001759
0.06,0.000882
0.07,0.003456
0.08,0.01066
0.09,0.02614
0.1,0.05169
0.11,0.08407
0.12,0.1156
0.13,0.1391
0.14,0.1527
0.15,0.1587
0.16,0.161
0.17,0.1629
0.18,0.1676
0.19,0.1796
0.2,0.2043
0.21,0.2432
0.22,0.29
0.23,0.3335
0.24,0.3645
0.25,0.3814
0.26,0.3886
0.27,0.3912
0.28,0.3927
0.29,0.3961
0.3,0.4051
0.31,0.4242
0.32,0.4557
0.33,0.4954
0.34,0.5341
0.35,0.5629
0.36,0.5794
0.37,0.5868
0.38,0.5893
0.39,0.5903
0.4,0.5913
0.41,0.5938
0.42,0.5996
0.43,0.6101
0.44,0.6249
0.45,0.6407
0.46,0.6537
0.47,0.662
0.48,0.666
0.49,0.6675
0.5,0.6678
0.51,0.6675
0.52,0.666
0.53,0.662
0.54,0.6537
0.55,0.6407
0.56,0.6249
0.57,0.6101
0.58,0.5996
0.59,0.5938
0.6,0.5913
0.61,0.5903
0.62,0.5893
0.63,0.5868
0.64,0.5794
0.65,0.5629
0.66,0.5341
0.67,0.4954
0.68,0.4557
0.69,0.4242
0.7,0.4051
0.71,0.3961
0.72,0.3927
0.73,0.3912
0.74,0.3886
0.75,0.3814
0.76,0.3645
0.77,0.3335
0.78,0.29
0.79,0.2432
0.8,0.2043
0.81,0.1796
0.82,0.1676
0.83,0.1629
0.84,0.161
0.85,0.1587
0.86,0.1527
0.87,0.1391
0.88,0.1156
0.89,0.08407
0.9,0.05169
0.91,0.02614
0.92,0.01066
0.93,0.003456
0.94,0.000882
0.95,0.0001759
0.96,2.729e-05
0.97,3.281e-06
0.98,3.048e-07
0.99,2.188e-08
1,2.408e-09
