x,f(x)
0,-4.337e-05
0.01,-4.342e-05
0.02,-4.357e-05
0.03,-4.383e-05
0.04,-4.42e-05
0.05,-4.468e-05
0.06,-4.528e-05
0.07,-4.601e-05
0.08,-4.688e-05
0.09,-4.79e-05
0.1,-4.909e-05
0.11,-5.046e-05
0.12,-5.205e-05
0.13,-5.388e-05
0.14,-5.599e-05
0.15,-5.842e-05
0.16,-6.124e-05
0.17,-6.45e-05
0.18,-6.83e-05
0.19,-7.276e-05
0.2,-7.803e-05
0.21,-8.431e-05
0.22,-9.188e-05
0.23,-0.0001011
0.24,-0.0001127
0.25,-0.0001273
0.26,-0.0001463
0.27,-0.0001719
0.28,-0.0002081
0.29,-0.0002625
0.3,-0.0003531
0.31,-0.0005316
0.32,-0.001039
0.33,-0.01049
0.34,0.1797
0.35,0.179
0.36,0.1788
0.37,0.1787
0.38,0.1787
0.39,0.1786
0.4,0.1786
0.41,0.1786
0.42,0.1786
0.43,0.1786
0.44,0.1786
0.45,0.1786
0.46,0.1786
0.47,0.1786
0.48,0.1786
0.49,0.1786
0.5,0.1786
0.51,0.1786
0.52,0.1786
0.53,0.1786
0.54,0.1786
0.55,0.1786
0.56,0.1786
0.57,0.1786
0.58,0.1787
0.59,0.1787
0.6,0.1788
0.61,0.1788
0.62,0.1789
0.63,0.1791
0.64,0.1794
0.65,0.1805
0.66,0.2631
0.67,0.397
0.68,0.3981
0.69,0.3984
0.7,0.3986
0.71,0.3987
0.72,0.3987
0.73,0.3988
0.74,0.3988
0.75,0.3989
0.76,0.3989
0.77,0.3989
0.78,0.3989
0.79,0.3989
0.8,0.3989
0.81,0.3989
0.82,0.3989
0.83,0.399
0.84,0.399
0.85,0.399
0.86,0.399
0.87,0.399
0.88,0.399
0.89,0.399
0.9,0.399
0.91,0.399
0.92,0.399
0.93,0.399
0.94,0.399
0.95,0.399
0.96,0.399
0.97,0.399
0.98,0.399
0.99,0.399
1,0.399
