x,f(x)
0,-7.393e-05
0.01,-7.4e-05
0.02,-7.42e-05
0.03,-7.453e-05
0.04,-7.501e-05
0.05,-7.563e-05
0.06,-7.641e-05
0.07,-7.735e-05
0.08,-7.847e-05
0.09,-7.979e-05
0.1,-8.132e-05
0.11,-8.309e-05
0.12,-8.512e-05
0.13,-8.746e-05
0.14,-9.015e-05
0.15,-9.325e-05
0.16,-9.681e-05
0.17,-0.0001009
0.18,-0.0001057
0.19,-0.0001113
0.2,-0.0001179
0.21,-0.0001258
0.22,-0.0001352
0.23,-0.0001467
0.24,-0.000161
0.25,-0.000179
0.26,-0.0002024
0.27,-0.0002339
0.28,-0.0002782
0.29,-0.0003447
0.3,-0.0004551
0.31,-0.0006724
0.32,-0.001289
0.33,-0.01276
0.34,0.2183
0.35,0.2175
0.36,0.2172
0.37,0.2171
0.38,0.217
0.39,0.217
0.4,0.2169
0.41,0.2169
0.42,0.2169
0.43,0.2169
0.44,0.2169
0.45,0.2169
0.46,0.2169
0.47,0.2169
0.48,0.2168
0.49,0.2168
0.5,0.2169
0.51,0.2169
0.52,0.2169
0.53,0.2169
0.54,0.2169
0.55,0.2169
0.56,0.2169
0.57,0.2169
0.58,0.2169
0.59,0.217
0.6,0.217
0.61,0.2171
0.62,0.2172
0.63,0.2173
0.64,0.2176
0.65,0.2185
0.66,0.2915
0.67,0.4097
0.68,0.4106
0.69,0.4109
0.7,0.411
0.71,0.4111
0.72,0.4112
0.73,0.4112
0.74,0.4113
0.75,0.4113
0.76,0.4113
0.77,0.4113
0.78,0.4113
0.79,0.4113
0.8,0.4113
0.81,0.4114
0.82,0.4114
0.83,0.4114
0.84,0.4114
0.85,0.4114
0.86,0.4114
0.87,0.4114
0.88,0.4114
0.89,0.4114
0.9,0.4114
0.91,0.4114
0.92,0.4114
0.93,0.4114
0.94,0.4114
0.95,0.4114
0.96,0.4114
0.97,0.4114
0.98,0.4114
0.99,0.4114
1,0.4114
