1,41.63,49.83,23.44,26.85,45.1,-41.31
2,-106.9,146.5,52.42,207.7,-58.24,-52.36
3,-107.4,166.9,49.17,227.4,-58.81,-51.17
4,-108.1,182.1,47.12,241.8,-57.93,-49.88
5,-108.9,191.5,46.51,250.3,-55.24,-48.47
6,-109.7,194.8,48.2,252.7,-49.81,-46.96
7,-110.6,192,53.29,249,-40.74,-45.38
8,-111.6,183.9,62.63,240.1,-27.53,-43.77
9,-112.4,171.6,76.23,227,-10.57,-42.14
10,-113,155.8,93.2,210.7,9.012,-40.48
11,-113.5,137.5,112.2,191.8,29.82,-38.78
12,-113.7,117.8,132,171.9,50.86,-37.06
13,-113.8,98.3,151.9,152.2,71.56,-35.34
14,-113.6,79.84,171.6,133.6,91.53,-33.67
15,-113.3,63.02,190.4,116.8,110.3,-32.07
16,-112.9,48.12,208,102,127.2,-30.51
17,-112.3,35.03,224,89.03,142.1,-28.92
18,-111.7,23.55,238,77.73,154.7,-27.23
19,-111,13.81,249.6,68.23,164.5,-25.17
20,-110.1,6.156,258.2,60.88,171.2,-22.79
21,-109.1,0.7067,263.8,55.81,174.6,-20.6
22,-108,-2.448,265.9,53.12,174,-18.72
23,-106.7,-2.948,264.2,53.13,169.3,-17.1
24,-105.5,-0.3222,257.8,56.29,159.8,-15.73
25,-104.3,5.484,245.6,62.59,144.7,-14.51
26,-103.2,14.41,228.4,71.94,125.1,-13.41
27,-102.3,26.29,208.3,84.14,103,-12.38
28,-101.5,40.27,186.8,98.34,80.24,-11.45
29,-100.9,55.11,165.1,113.3,57.7,-10.63
30,-100.5,69.83,144.4,128,36.52,-9.858
31,-100.2,83.8,124.8,141.8,16.93,-9.119
32,-100.1,96.56,105.8,154.3,-1.517,-8.391
33,-100.1,108,87.45,165.5,-18.72,-7.65
34,-100.2,117.9,70.14,175,-34.5,-6.907
35,-100.4,126,53.86,182.7,-49.02,-6.192
36,-100.6,131.3,39.03,187.5,-61.96,-5.526
37,-100.9,132.8,26.24,188.4,-72.67,-4.938
38,-101.3,129.6,15.86,184.7,-80.66,-4.465
39,-101.8,122.5,8.355,176.9,-85.33,-4.126
40,-102.3,112.9,4.419,166.4,-86.09,-3.918
41,-103,100.8,4.666,153.6,-82.57,-3.835
42,-103.6,86.34,9.301,138.5,-74.87,-3.834
43,-104.1,69.72,17.96,121.2,-63.58,-3.84
44,-104.5,51.12,29.54,102.1,-49.84,-3.776
45,-104.8,31.21,42.59,81.78,-35.05,-3.615
46,-105,10.95,55.73,61.2,-20.53,-3.366
47,-105,-8.705,68.12,41.31,-7.167,-3.056
