it,2,8,9,4,10,11,5,12,13,7,14,15
1,35.49,15.76,30.77,44.29,31.64,30.2,45.38,42.84,14.8,36.16,38.23,-36.53
2,-51.43,97.84,84.25,70.2,-6.167,-89.51,36.46,-0.9855,-91.54,-70.47,-70.09,-36.69
3,-50.9,141.7,107.4,93.83,24.63,-84.93,82,28.43,-91.15,-72.12,-69.75,-36.94
4,-49.78,160.1,106.8,93.74,97.19,-67.31,102.5,97.51,-81.17,-68.76,-65.27,-37.52
5,-47.89,178.8,81.58,68.83,115.4,-51.05,123.5,114.4,-52.39,-48.14,-55.04,-37.59
6,-45.83,186.6,39.28,26.87,93.09,-25.41,134.5,92.4,-8.617,-12.78,-33.22,-35.37
7,-43.55,128.2,45.09,33.08,65.95,8.638,80.36,67.04,35.12,26,0.9112,-29.86
8,-40.86,64.79,58.43,46.64,23.9,38.71,20.79,26.27,67.98,56.21,30.99,-21.07
9,-37.94,35.25,79.42,68.05,-25.61,61.39,-5.002,-24.64,76.94,67.61,45.64,-10.79
10,-35.27,7.553,78.86,68.19,-35.3,65.2,-28.59,-35.65,54.99,49.44,43.86,-1.294
11,-32.34,6.133,44.61,34.64,-5.361,47.66,-26.63,-6.46,18.4,16.34,22.06,5.08
12,-29.25,46.78,27.88,18.52,14.15,10.07,17.13,14.2,-16.12,-17.6,-14.04,7.064
13,-26.45,85.19,23.1,14.56,40.73,-20.89,59.54,42.41,-38.77,-41.91,-41.88,5.438
14,-23.58,81.29,44.19,36.5,63.07,-25.39,59.76,64.97,-39.24,-46.42,-48.37,2.019
15,-20.36,68.42,57.55,50.51,53.93,-6.827,50.5,55.64,-14.13,-25.13,-32.57,-0.3947
16,-17.16,39.49,43.62,37.36,14.07,31.39,25.25,15.02,24.42,11.98,1.007,0.6249
17,-14.16,-7.434,26.55,21.15,-12.5,71.24,-18.07,-11.14,57.41,46.37,40.24,5.859
18,-11.03,-40.51,10.43,5.787,-35.85,88.73,-48.4,-33.24,70.99,63.51,60.66,13.92
19,-8.094,-36.06,19.26,15.43,-48.43,77.91,-41.6,-45,56.45,53.31,52.14,21.81
