1,41.63,49.83,23.44,26.85,45.1,-41.31
2,-106.9,146.5,52.42,207.7,-58.24,-52.36
3,-92.16,186.7,55.35,247,-52.54,-51.03
4,-88.71,220.3,59.05,279.7,-45.82,-49.62
5,-88.67,247.8,64,306.2,-37.47,-48.13
6,-89.74,269.2,71.11,326.6,-26.5,-46.56
7,-91.11,283.4,81.15,339.7,-12.34,-44.94
8,-92.47,291.4,95.01,346.6,5.567,-43.31
9,-93.69,294.7,112.9,349.1,27.01,-41.69
10,-94.71,294.3,133.9,347.9,50.85,-40.06
11,-95.47,290.3,156.4,343.2,75.54,-38.41
12,-95.98,284.5,179.5,336.9,100.2,-36.74
13,-96.27,278.6,202.6,330.7,124.5,-35.11
14,-96.36,273.4,225.2,325.2,147.9,-33.53
15,-96.3,269,246.7,320.6,169.8,-32.04
16,-96.05,266.3,265.7,317.9,190.5,-30.54
17,-95.15,265.2,279.5,316.7,212.9,-28.83
18,-93.59,264.8,291.3,316.1,236.6,-26.57
19,-91.79,265.5,303.2,313.7,261.2,-22.4
20,-89.75,266.7,316.7,308.8,284,-16.29
21,-87.44,266.6,330.8,306.1,304.4,-10.45
22,-84.95,266.2,343.9,305.8,321.2,-5.389
23,-82.66,267.3,356.8,307.1,335.3,-0.737
24,-81.03,271.6,370.1,311.9,345.5,3.273
25,-79.75,278.7,377.2,319.3,348,6.966
26,-78.62,288.5,376.1,329.2,343.5,10.34
27,-77.73,301.6,371,342.1,337.1,13.67
28,-76.92,317,363.6,357.3,329.9,16.82
29,-76.1,332.9,355.1,373.1,321.8,19.7
30,-75.34,348.5,347.8,388.5,315.5,22.47
31,-74.71,363.6,342.7,403.5,311.4,25.12
32,-73.98,377.8,336.6,417.8,306.6,27.7
33,-72.86,391.4,327.5,431.6,300.8,30.39
34,-71.21,405.1,315.9,445.4,292.9,33.29
35,-69.22,418,300.9,458.2,280,36.36
36,-66.96,428.1,281.8,467.9,262,39.53
37,-63.13,430.8,260,470,241.3,42.57
38,-56.88,422.8,238.2,460.9,219.7,45.29
39,-51.82,407.9,218.6,444.6,199.4,47.76
40,-50.82,392,202.4,427.2,182.6,50.1
41,-51.67,375.5,190,409.4,170.8,52.25
42,-52.5,358,180.9,390.8,164.1,54.16
43,-52.83,339.6,175.8,371.5,162.3,55.93
44,-52.44,319,174.9,350.3,163.8,57.67
45,-51.81,296.5,176.1,327.5,167.2,59.44
46,-51.14,273.3,176.9,304.1,170.2,61.2
47,-50.44,250.7,177.2,281.2,171.6,62.96
48,-49.66,229,176.6,259.3,171.6,64.67
49,-48.69,208,173.8,238.1,170.9,66.25
