1,91.21,80.51,80.51,-157.2
2,-105.3,-146.7,-146.7,288.5
3,-101.7,-137.2,-137.2,276.4
4,-99.88,-132.2,-132.2,265.7
5,-99.31,-130.3,-130.3,255.8
6,-99.61,-130.5,-130.5,246.7
7,-100.3,-131.9,-131.9,238.5
8,-101.2,-133.6,-133.6,231.3
9,-102.1,-135.2,-135.2,225
10,-102.9,-136.7,-136.7,219.6
11,-103.6,-138,-138,215.1
12,-104.2,-138.7,-138.7,211.5
13,-104.5,-138.9,-138.9,208.7
14,-104.6,-138.7,-138.7,206.4
15,-104.6,-138.4,-138.4,204.6
16,-104.6,-138.1,-138.1,202.6
17,-105.4,-136.3,-136.3,198.8
18,-107,-131,-131,193.1
19,-108.4,-123.8,-123.8,185.3
20,-106.3,-118,-118,176.6
21,-101.1,-111.9,-111.9,169.7
22,-96.43,-103.7,-103.7,164.4
23,-92.06,-96.55,-96.55,159.9
24,-88.28,-90.6,-90.6,156.8
25,-85.56,-85.5,-85.5,154.4
26,-83.19,-81.02,-81.02,152.3
27,-81.18,-77.45,-77.45,150.2
28,-79.31,-74.93,-74.93,148.2
29,-77.77,-73.17,-73.17,146.4
30,-76.75,-72,-72,144.7
31,-76.1,-71.25,-71.25,143.2
32,-75.97,-69.86,-69.86,141.5
33,-76.72,-66.41,-66.41,138.9
34,-78.07,-60.76,-60.76,135.3
35,-78.99,-55.02,-55.02,131.2
36,-78.97,-51.54,-51.54,126.8
37,-77.89,-50.2,-50.2,121
38,-75.7,-50.08,-50.08,113.6
39,-73.31,-51.2,-51.2,106.6
40,-71.57,-52.9,-52.9,101.6
41,-70.38,-53.9,-53.9,97.92
42,-69.62,-54.39,-54.39,95.22
43,-68.99,-54.92,-54.92,92.82
44,-68.09,-55.28,-55.28,90.86
45,-67.02,-55.32,-55.32,89.67
46,-66.2,-54.64,-54.64,88.88
47,-65.64,-53.4,-53.4,88.03
48,-65.3,-51.36,-51.36,86.66
49,-65.6,-47.78,-47.78,84.72
50,-66.65,-43.37,-43.37,82.83
51,-67.64,-39.59,-39.59,81.34
52,-67.81,-36.66,-36.66,80.05
53,-66.78,-33.87,-33.87,78.62
54,-64.47,-30.58,-30.58,76.71
55,-60.93,-26.82,-26.82,74.23
56,-56.42,-23.19,-23.19,71.72
57,-51.91,-20.11,-20.11,69.91
58,-48.69,-17.77,-17.77,68.88
59,-46.81,-16.3,-16.3,68.27
60,-45.35,-15.49,-15.49,67.72
61,-43.92,-14.8,-14.8,66.96
62,-42.75,-14.12,-14.12,66
63,-42.21,-13.48,-13.48,64.92
64,-42.38,-12.29,-12.29,63.63
65,-43.14,-10.03,-10.03,62.17
66,-44.16,-7.275,-7.275,60.87
67,-44.96,-5.262,-5.262,59.94
68,-45.34,-4.296,-4.296,59.01
69,-45.45,-4.145,-4.145,57.63
70,-45.3,-4.893,-4.893,55.62
71,-44.82,-6.496,-6.496,52.98
72,-43.89,-8.585,-8.585,49.9
73,-42.33,-10.71,-10.71,46.71
74,-40.27,-12.36,-12.36,43.92
75,-38.27,-13.32,-13.32,42.13
76,-36.77,-13.83,-13.83,41.35
77,-35.86,-14.03,-14.03,40.99
78,-35.47,-13.75,-13.75,40.54
79,-35.31,-12.81,-12.81,39.85
80,-35.18,-11.01,-11.01,38.97
81,-35.21,-8.469,-8.469,38.15
82,-35.53,-6.02,-6.02,37.66
83,-35.9,-4.44,-4.44,37.61
