1,32.26,34.16,33.01,16.99,15.18,28.32,-2.624,3.899,33.49,-33.09
2,-78.46,-156.8,-31.33,-11.45,-120,-68.26,-50.44,-84.44,-29.85,-43.51
3,-78.1,-137.2,-24.41,-0.6676,-100.2,-58.12,-45.96,-85.01,-28.41,-43.06
4,-77.66,-116.2,-17.98,8.705,-79.02,-49.55,-41.89,-85.4,-26.87,-42.57
5,-77.16,-93.38,-11.97,16.52,-55.97,-42.7,-38.12,-85.47,-25.11,-42.04
6,-76.6,-68.7,-6.436,22.95,-31.05,-37.49,-34.69,-85.58,-23.47,-41.46
7,-75.95,-43.24,-1.564,28.21,-5.305,-33.76,-31.78,-86.24,-22.46,-40.83
8,-75.23,-16.94,2.579,32.85,21.31,-30.94,-29.44,-87.92,-22.57,-40.13
9,-74.45,10.53,5.979,37.39,49.13,-28.41,-27.62,-90.64,-23.88,-39.37
10,-73.6,38.91,8.603,42.07,77.86,-25.81,-26.34,-93.88,-25.89,-38.57
11,-72.74,67.44,10.41,46.97,106.7,-22.92,-25.61,-96.92,-27.93,-37.73
12,-71.89,96.26,11.47,52.42,135.9,-19.38,-25.37,-99.49,-29.73,-36.87
13,-71.09,125.5,11.91,58.73,165.4,-14.86,-25.47,-101.8,-31.49,-35.99
14,-70.37,154.7,11.87,66.02,194.7,-9.165,-25.8,-104.2,-33.6,-35.09
15,-69.78,183.5,11.55,74.28,223.6,-2.197,-26.11,-107,-36.35,-34.17
16,-69.31,211.9,11.14,83.94,252,6.636,-25.97,-109.9,-39.63,-33.27
17,-68.97,238.4,10.32,97.25,278.4,19.76,-24.93,-111.9,-42.47,-32.45
18,-68.77,261.4,8.779,114.9,301.1,37.89,-23.11,-111.8,-43.9,-31.75
19,-68.67,280.1,6.484,136.8,319.5,60.82,-20.54,-107.9,-43.68,-31.09
20,-68.7,294.3,3.633,160.5,333.4,85.83,-17.59,-100.4,-42.18,-30.41
21,-68.84,303.6,0.3616,183.9,342.2,110.9,-15.03,-91.97,-39.91,-29.81
22,-69.03,308.3,-3.219,206.3,346.4,135.2,-13.24,-84.02,-37.55,-29.34
23,-69.24,310.3,-6.895,228.8,347.9,160,-11.57,-76.86,-36.19,-28.97
24,-69.51,312.1,-10.48,252.2,349.1,186,-9.742,-70.91,-35.85,-28.69
25,-69.81,313.6,-13.82,276,349.9,212.5,-7.719,-64.63,-35.18,-28.48
26,-70.13,313.4,-16.98,298.6,349,238,-5.633,-57.87,-33.92,-28.37
27,-70.48,311.5,-20.09,320.5,346.5,262.8,-3.384,-50.61,-32.34,-28.35
28,-70.83,308.4,-23.15,341.2,342.6,286.5,-1.036,-42.95,-30.61,-28.41
29,-71.16,303.9,-25.98,360.2,337.5,308.4,1.538,-35.69,-29.25,-28.54
30,-71.44,298.8,-28.52,377.9,331.6,328.8,4.536,-28.69,-28.25,-28.74
31,-71.64,293.2,-30.66,393.9,325.4,347.4,7.975,-21.8,-27.46,-28.98
32,-71.71,287.4,-32.16,407,319,362.8,12,-14.76,-26.45,-29.2
33,-71.63,281.2,-32.91,416.6,312.5,374.3,16.77,-6.915,-24.61,-29.38
34,-71.39,274.7,-32.67,420.5,305.6,379.6,22.48,1.665,-22.1,-29.51
35,-71,267.7,-30.91,415.7,298.4,375.7,29.47,10.22,-19.5,-29.56
36,-70.47,260.1,-27.38,401.5,290.6,362.2,38.04,18.29,-17.14,-29.54
37,-69.82,250.4,-22.33,379.9,280.8,341,47.92,25.97,-14.97,-29.44
38,-69.04,238.3,-16.23,353.8,268.7,314.9,58.59,33.53,-12.65,-29.3
39,-68.15,227.5,-9.187,327.1,258,287.9,69.94,41.58,-9.451,-29.12
40,-67.18,219.8,-1.152,301.5,250.3,261.6,82.08,50.79,-4.783,-28.9
41,-66.15,212.7,7.681,276.1,243.4,235.2,94.79,61.34,1.448,-28.63
42,-65.06,205.9,17.22,249.6,236.7,207.5,107.9,72.84,8.901,-28.31
43,-63.92,199.5,27.44,222.3,230.5,178.9,121.5,84.72,17.09,-27.94
44,-62.73,192.7,38.3,194.2,223.9,149.4,135.3,96.49,25.52,-27.53
45,-61.5,185.3,49.91,165.2,216.6,119,149.6,107.9,34.01,-27.05
46,-60.26,177.1,62.23,136.3,208.6,88.47,164.3,119.6,43.16,-26.49
47,-59.02,168.1,75.11,107.9,199.8,58.64,179.1,132,53.46,-25.85
48,-57.84,157.8,88.49,80.31,189.7,29.64,194.1,144.9,64.71,-25.11
49,-56.75,145.6,102.2,53.59,177.5,1.837,209.1,157.8,76.59,-24.26
50,-55.75,130.9,116,28.34,162.9,-24.05,223.6,170.3,88.81,-23.27
51,-54.88,112.9,129.4,5.251,144.7,-47.33,237,181.9,101.1,-22.14
52,-54.13,91.24,142.2,-15.1,122.9,-67.48,248.8,192.5,113.4,-20.81
53,-53.47,67.1,154.4,-32.49,98.6,-84.38,258.7,202.3,125.7,-19.27
54,-52.91,41.71,165.9,-46.63,72.94,-97.75,266.7,211.8,138.4,-17.51
55,-52.44,16.1,176.6,-57.52,47.01,-107.6,273.4,221.3,151.6,-15.55
56,-52.09,-8.87,186.8,-65.99,21.67,-114.7,279.3,230.5,164.5,-13.42
57,-51.83,-33.13,196.6,-73.01,-3.003,-120.1,285.3,239.3,176.8,-11.11
58,-51.64,-57.31,206.2,-79.26,-27.63,-124.6,291.2,247.3,188.1,-8.628
59,-51.49,-81.85,215.5,-84.88,-52.63,-128.2,296.7,254.2,198.5,-5.983
60,-51.36,-106.4,224.4,-89.41,-77.65,-130.8,301.6,260.5,208.4,-3.205
61,-51.28,-130.1,232.9,-92.55,-101.9,-131.9,306,266.7,218.2,-0.3112
62,-51.22,-152.3,240.9,-94.58,-124.6,-131.8,309.8,272.7,227.9,2.691
63,-51.19,-172.4,248.4,-95.65,-145.1,-130.7,312.7,278.3,237.4,5.801
64,-51.15,-190.1,255,-95.71,-163.4,-128.7,314.8,283.1,246.1,9.012
65,-51.08,-205.4,260.7,-95.47,-179.1,-126.4,316,286.8,253.6,12.31
66,-50.93,-217.4,265.6,-95.5,-191.5,-124.8,316.4,288.9,259.6,15.67
67,-50.7,-224.6,269.8,-95.3,-199,-123.2,316.1,289.5,264,19.06
68,-50.37,-225.9,273,-94.25,-200.5,-121.1,314.7,288.9,267.3,22.46
69,-49.94,-220.4,275.1,-92.15,-195.2,-118.1,312.2,287,269.2,25.82
70,-49.44,-208.4,275.8,-88.5,-183.4,-113.9,308.4,283.6,269.5,29.11
71,-48.87,-191.4,274.9,-83.12,-166.4,-108.2,303.2,278.4,267.8,32.31
72,-48.23,-171.2,272.5,-76.75,-146.3,-101.7,296.8,271.4,264.2,35.4
73,-47.54,-149.4,268.4,-70.18,-124.5,-95.39,289,262.4,258.4,38.38
74,-46.78,-127.2,262.9,-64.07,-102.3,-89.7,279.8,251.9,251,41.28
75,-45.98,-105.1,255.9,-58.94,-80.02,-85.12,269.3,240.4,242.5,44.1
76,-45.17,-82.32,247.3,-54.37,-57.23,-81.17,257.4,228.2,233.1,46.84
77,-44.33,-58.39,237.3,-49.29,-33.23,-76.74,244.3,215.3,222.8,49.48
78,-43.5,-33.5,225.9,-43.27,-8.275,-71.43,230.2,201.3,211.1,52.01
79,-42.64,-8.126,213.4,-36.38,17.16,-65.31,215.3,186,198,54.43
80,-41.78,17.51,199.8,-28.18,42.85,-57.91,199.6,169.4,183.2,56.73
81,-40.93,42.81,185,-18.21,68.18,-48.62,183.1,151.8,167.1,58.87
