it,2,8,9,4,10,11,5,12,13,7,14,15
1,35.49,15.76,30.77,44.29,31.64,30.2,45.38,42.84,14.8,36.16,38.23,-36.53
2,-51.43,98.31,84.39,70.25,-6.167,-89.51,36.54,-0.9855,-91.54,-70.47,-70.09,-36.69
3,-50.95,143.3,107.9,94.15,24.64,-84.93,82.46,28.44,-91.15,-72.12,-69.75,-36.94
4,-50.17,163.1,107.7,94.41,97.45,-67.27,103.7,97.76,-81.14,-68.75,-65.26,-37.52
5,-48.81,183.8,82.8,69.72,116.4,-50.87,125.5,115.4,-52.25,-48.06,-54.99,-37.59
6,-47.35,194.6,40.38,27.67,94.95,-25.02,138,94.18,-8.173,-12.52,-33.06,-35.37
7,-45.83,139.8,45.62,33.42,68.72,9.288,85.71,69.72,36.16,26.69,1.286,-29.83
8,-43.99,79.81,58.3,46.48,27.87,39.71,27.96,30.18,69.96,57.59,31.71,-20.98
9,-41.86,53.4,79,67.64,-20.43,62.82,3.727,-19.48,80.17,69.91,46.84,-10.59
10,-39.88,28.51,78.77,68.04,-29.51,67.17,-18.44,-29.83,59.72,52.86,45.67,-0.9204
11,-37.74,28.64,45.21,35.15,0.7437,50.35,-15.76,-0.2883,24.68,20.93,24.58,5.697
12,-35.33,69.87,29.05,19.56,20.51,13.65,27.79,20.64,-8.389,-11.93,-10.73,7.992
13,-33.01,109.3,24.62,15.83,46.82,-16.44,70.05,48.57,-29.8,-35.31,-37.83,6.733
14,-30.69,106.7,45.77,37.76,68.7,-20.27,70.57,70.69,-29.32,-39.12,-43.73,3.719
15,-28.11,94.92,59.19,51.83,60,-1.276,61.56,61.81,-3.546,-17.39,-27.56,1.719
16,-25.45,67.43,45.62,38.97,21.1,37.14,36.91,22.17,35.47,19.94,6.156,3.134
17,-22.93,22.35,29,23.14,-4.769,77.1,-5.113,-3.275,68.91,54.49,45.41,8.729
18,-20.28,-9.97,13.23,8.124,-27.22,94.83,-34.67,-24.48,83.09,71.93,65.94,17.13
19,-17.61,-5.921,22.29,17.91,-38.92,84.54,-28.1,-35.37,69.4,62.26,57.82,25.35
20,-15.1,4.145,36.76,33.24,-23.35,52.24,-15.31,-19.65,26.77,23.09,27.07,30.11
