1,32.26,34.16,33.01,16.99,15.18,28.32,-2.624,3.899,33.49,-33.09
2,-78.46,-156.8,-31.33,-11.45,-120,-68.26,-50.44,-84.44,-29.85,-43.51
3,-54.95,505,-22.78,157.7,542.3,99.71,-44.34,-87.47,-30.87,-42.81
4,-62.41,503.3,-15.12,160,539,104.6,-39.04,-90.27,-31.75,-42.12
5,-61.35,506.1,-8.17,158.4,540.4,105,-34.32,-92.81,-32.47,-41.44
6,-62.07,522.3,-1.928,158.9,555.4,106.9,-30.2,-95.47,-33.39,-40.74
7,-62.01,507.5,3.349,152,539.5,100.9,-26.9,-98.59,-34.86,-40.02
8,-61.93,501,7.65,147.5,532,96.64,-24.4,-102.7,-37.42,-39.27
9,-61.68,515.2,11.04,148.5,545.4,97.55,-22.61,-107.8,-41.17,-38.48
10,-61.33,528.5,13.51,150,557.8,98.7,-21.49,-113.4,-45.61,-37.67
11,-60.9,522.3,15,147.5,550.9,95.92,-21.09,-118.7,-49.95,-36.84
12,-60.46,528.5,15.64,148.4,556.2,96.47,-21.26,-123.5,-53.96,-36.01
13,-60.02,547.8,15.64,153.1,574.7,100.8,-21.82,-127.9,-57.87,-35.18
14,-59.64,554,15.13,155.7,580.1,103.3,-22.64,-132.2,-61.99,-34.34
15,-59.32,551.6,14.3,157.6,576.8,105.3,-23.24,-136.7,-66.56,-33.5
16,-59,556.3,13.4,179.6,580.6,130.1,-15.59,-139.7,-71.44,-32.7
17,-58.07,523.4,13.25,284.1,546.7,247.7,22.37,-134.2,-75.01,-32.07
18,-56.87,437.2,18.71,405.2,459.4,384.1,76.61,-116.7,-74.7,-31.63
19,-55.83,343,31.21,522.5,360.4,517.8,143.8,-43.15,-68.84,-31.22
20,-54.72,214.5,51.46,545.8,224.8,554.5,203.1,73.56,-48.5,-30.7
21,-52.68,43.96,76.18,481.4,54.4,500.7,232.6,130.9,-9.646,-30.32
22,-49.75,-44.66,99.43,389.7,-32.55,416.4,238.1,146.5,30.82,-30.16
23,-47.64,-41.56,117.5,355.5,-29.27,385.6,253.6,182.9,63.09,-30.15
24,-46.34,25.75,133.9,391.7,38.97,419.4,274,207.1,92.73,-30.26
25,-45.03,95.41,150.2,434.6,108.3,460.4,290.2,229.6,119.4,-30.43
26,-43.98,86.76,165.3,418.9,99.33,446.5,298.2,248.7,144.1,-30.7
27,-43.11,71.13,178,419.7,82.98,450.7,312.5,272.8,166.8,-31.06
28,-42.09,59.47,189.8,417.2,70.92,451.7,326.5,303.1,188.7,-31.51
29,-40.85,49.27,201,392.5,60.63,429.5,334.3,321.7,209.9,-32.01
30,-39.62,51.24,210.7,394.1,62.46,433.5,345.4,338.8,228.9,-32.57
31,-38.33,59.79,220,389.5,71.13,430.2,354.8,357,246.3,-33.1
32,-36.53,68.04,229.2,347.8,79.92,389.4,359.1,368,264.1,-33.46
33,-34.01,72.56,237.4,282.5,85.28,326.5,365.6,379.6,283.1,-33.34
34,-30.75,61.17,248,127.9,74.81,173.2,370.8,397.8,304.6,-31.87
35,-27.13,41.12,264.5,-163,55.68,-121.1,369.4,412.6,327,-28.05
36,-23.25,8.632,286,-463.1,24.21,-429.3,372.5,417.7,346.1,-21.75
37,-17.43,-97.71,310.2,-661.9,-81.15,-640.1,385.3,413.1,359.6,-13.66
38,-9.863,-230.5,335.1,-712.3,-213.2,-706.4,402.9,404.3,367,-4.936
39,-6.344,-215.5,359.5,-602.9,-197.6,-614.2,423.9,402.1,370.3,3.197
40,-7.121,-129.1,383.1,-452.1,-111.1,-476.8,447.4,411.4,376.3,10.27
41,-7.183,-129.9,405.5,-375.4,-111.7,-408.4,469.8,432.9,391.7,16.47
42,-6.63,-149.7,425.8,-370.6,-131.2,-407.6,490.4,458.4,412.6,21.99
43,-5.443,-142,443.6,-374.4,-123,-414.3,507.8,474.1,429.4,26.86
44,-3.54,-140.1,459.9,-377,-120.4,-421,522.4,482.1,440.8,31.29
45,-1.934,-139.8,476.6,-384.5,-119.1,-432.2,536,485.7,450.1,35.61
46,-0.4399,-136.6,493.6,-368.7,-115.1,-419.9,549.7,487.1,457,39.78
47,0.7777,-130.2,509.8,-324.2,-108.4,-379.9,564.4,490.9,462.4,43.68
48,1.821,-142.6,526.1,-279.2,-120.5,-338.1,580.7,493.4,468.7,47.4
49,2.773,-180.9,542.4,-232.6,-158.7,-289.9,595,489,475.8,50.94
50,2.793,-229.8,556.3,-175.9,-208.1,-227.1,602.2,473,477.4,54.27
51,2.098,-306.9,564.7,-111.4,-285.9,-155.2,595,438.4,467.1,57.65
52,1.044,-386.9,562.2,-32.85,-367,-68.86,560,389.4,444.5,61.2
53,-0.3887,-417.3,539.7,48.38,-398.9,20.23,494,337.8,411.1,64.83
54,-2.384,-391.9,493.7,117.6,-375.8,96.65,414.4,288.1,370.6,68.49
55,-4.799,-329.1,430.3,159.2,-316.2,144.4,338.8,241.9,328.9,72.23
56,-7.3,-265.7,361.3,151.2,-255.6,142.1,280.8,209.1,288.6,76.08
57,-9.429,-240.8,298.5,96.01,-231.6,92.76,242.3,187.8,250.3,80.04
58,-10.85,-248,248.3,24.47,-238.5,26.51,208.4,159.6,214.2,83.97
59,-11.92,-269.2,208.5,-29.65,-259.7,-23.79,170.7,122.6,179.2,87.61
60,-13,-292.1,173.6,-41.59,-282.8,-33.6,135.2,90.65,145.4,90.83
61,-14.14,-294.4,141.1,-20.85,-285.5,-11.75,106.2,67.38,116.2,93.67
62,-15.52,-272.2,110,-2.953,-264,7.759,77.34,50.24,94.9,96.19
63,-17.19,-238.2,78.18,1.486,-230.5,14.96,44.07,37.55,80.31,98.35
64,-18.56,-203.4,44.7,-3.974,-196.1,13.24,12.74,27.26,66.98,100
65,-19.16,-173.4,10.51,-38.71,-166,-17.23,-12.99,17.69,52.05,101.3
66,-19.12,-122.8,-24.26,-96.63,-115.1,-72.54,-39.54,5.249,36.57,102.1
67,-18.69,-22.45,-60.67,-125.1,-14.26,-101.9,-73.93,-10.83,20.28,102.1
68,-17.74,124.2,-99.64,-105.9,133.1,-85.97,-116.4,-27.71,1.825,100.7
69,-16.43,299.3,-141.9,-57.99,308.5,-42.44,-162.3,-46.9,-20.04,97.46
70,-15.09,462.8,-187.2,19.88,471.9,29.85,-207.1,-71.97,-48.06,91.8
71,-13.52,559.2,-232.6,110.4,567.8,114.3,-248.6,-107.1,-85.43,83.48
72,-11.38,567.6,-274.4,167.9,575.5,166.8,-286.9,-157.5,-133.6,73.3
73,-8.651,513.7,-310.9,187.1,520.9,182.3,-325.1,-221.6,-190,62.85
74,-5.991,427.8,-344.1,183.7,434.4,177.1,-365.5,-288.4,-248.9,53.67
75,-4.753,344.9,-376.3,159,351.1,152.4,-405.5,-346.9,-304.7,46.56
76,-5.162,310.8,-408.4,137.2,316.5,131.6,-442,-394.1,-352.7,41.23
77,-5.812,322.4,-439.6,138.6,327.9,134.1,-472.9,-432,-391.3,36.86
78,-5.806,330.9,-468,139.6,336.3,136.3,-496.8,-463.4,-423.7,32.91
79,-5.377,317.3,-492.5,130.4,322.6,127.3,-516.4,-493.8,-455.5,29.17
80,-4.691,293.8,-513.2,140.7,299.3,137.4,-534,-528.4,-490.1,25.53
81,-3.893,255.2,-529.9,176.4,260.9,173.9,-546.1,-565,-526.6,21.88
82,-3.417,190.4,-541.4,208.2,196.1,208,-549.9,-597.2,-561.3,18.35
83,-3.545,115.1,-548.2,231.7,120.5,235.2,-546.3,-618.2,-590.1,14.92
